Município,Empreend,Tipo Atualiz,Exec,Proj,Lote,Status Lote,Ação,Realiz,Inic Empreend,Fim Empreend,Data do Projeto,Data Medição,% Exec,Sit Empreend,Valor Empreend,Valor Tesouro,Valor Contrap,Empreendimento,Progr,Programa,Cód.Componente,Componente,Cód Bem,Remessa,Ind Aceita,Cód. Escr. Reg,Executor,Escritório Regional,Cód Assoc,Nº Convênio,Associação
Ampére,100058,A,11,19,1,Concluído,,234,6/22/2012,8/21/2012,5/7/2012,8/21/2012,100,1,"167,465.90","139,554.92","27,910.98","RECAPE - CBUQ.Rua Duque de Caxias (entre Rua Dom Pedro I (+26,00m) e Rua Tijuca (+10,00m).",17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Ampére,Escritório Regional de Cascavel,8,1723/2012-0053,Associação dos Municípios do Sudoeste do Paraná
Ampére,100158,A,11,20,1,Concluído,,234,4/7/2014,9/22/2014,10/29/2013,9/22/2014,100,1,"830,595.36","830,595.36",0,"RECAPE - CBUQ.Rua Cerejeira (370m a partir do Lote 03 da Q284).Rua Ver. Silvestre Dalazem (Entre Rua Emilio Favretto e Rua Cerejeira - 34,00m).Rua Alexandria (Entre Rua Paris e Rua Ver. Silvestre Dalazem).Rua Luiz Zucheli (Entre Rua Benjamin e Rua Ver. Si",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Ampére,Escritório Regional de Cascavel,8,2023/2013-0491,Associação dos Municípios do Sudoeste do Paraná
Anahy,100159,A,12,24,1,Concluído,,234,5/8/2014,5/30/2014,11/8/2013,5/30/2014,100,1,"316,513.25","300,000.00","16,513.25",RECAPE - CBUQ.Av. São Paulo trecho entre Rua Gal Osório e Av. Brasil.Rua Gal Osório trecho entre Rua Rio Ivaí e Av. São Paulo.Rua Rio Ivaí trecho entre Rua Gal Osório e Av. Brasil.Rua Tupi trecho entre Rua Alte Tamandaré e Rua Xavantes.Rua Alte Tamandré t,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Anahy,Escritório Regional de Cascavel,7,1923/2013-0522,Associação dos Municípios do Oeste do Paraná
Andirá,100160,A,13,26,1,Concluído,,234,5/2/2014,9/5/2014,9/9/2013,9/5/2014,100,1,"478,027.54","450,000.00","28,027.54",RECAPE - CBUQ.Rua Alagoas - entre Av. Major Barbosa Ferraz Junior e Rua Londrina.Av. Cesário Castilho - entre Rua Alagoas e Rua Ingá.Rua Bandeirantes - entre Rua Marumbi e Rua Cândido Fernandes Troina.Rua Londrina - entre Rua Alagoas e Rua Tibagi.Rua Serg,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Andirá,Escritório Regional de Londrina,12,1923/2013-0310,Associação dos Municípios do Norte Pioneiro
Ângulo,100059,A,355,10,1,Concluído,,234,10/2/2012,1/8/2013,3/19/2012,1/8/2013,100,1,"231,720.00","202,238.80","29,481.20",RECAPE - CBUQ.Rua Cassimiro de Oliveira Ramos entre Rua Luiz José de Mello e Rua Milton Machado.Rua Geraldo Tiburcio entre Av. Brasil e Rua Ermínia Bozelli Driussi.Rua Agostinho Molinari entre Av. Valério Osmar Estevão e Av. Sálvio Manuel da Silva.Av. Par,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Ângulo,Escritório Regional de Maringá,14,1723/2012-0004,Associação dos Municípos do Setentrião Paranaense
Ângulo,100161,A,355,14,1,Concluído,,1093,1/16/2014,1/17/2014,8/13/2013,1/17/2014,100,1,"249,500.00","249,500.00",0,"Aquisição de Equipamento(s) Rodoviário(s) sendo:Lote 01 - 01 CAMINHÃO COLETOR COMPACTADOR DE LIXO 4x2 com mínima potência efetiva líquida de 189 CV, capacidade do coletor de lixo de 10,0m³ de lixo compactado e demais caracteristicas técnicas constante do ",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Ângulo,Escritório Regional de Maringá,14,1923/2013-0003,Associação dos Municípos do Setentrião Paranaense
Ângulo,100162,A,355,16,1,Concluído,,546,7/4/2014,12/9/2014,5/13/2014,12/9/2014,100,1,"73,598.00","50,000.00","23,598.00",Praça.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.06,PRAÇA,,10051,1,4,Ângulo,Escritório Regional de Maringá,14,1923/2013-0359,Associação dos Municípos do Setentrião Paranaense
Ângulo,100579,A,355,12,1,Medição Encerrada,,223,5/10/2013,10/3/2013,1/29/2013,10/3/2013,100,1,"215,370.59","195,791.44","19,579.15",Pavimentação - TST.Rua Antenor Ferreira Leite (entre Estrada Municipal e Rua Projetada).Rua Projetada (entre Av. Valério Osmar Estevão e Rua Antenor Ferreira Leite).Estrada Municipal (entre Av. Valério Osmar Estevão e Rua Projetada C).,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Ângulo,Escritório Regional de Maringá,14,1723/2012-0076,Associação dos Municípos do Setentrião Paranaense
Antonina,100060,A,14,15,1,Concluído,,234,1/10/2013,2/27/2013,5/10/2012,2/27/2013,100,1,"184,021.16","163,778.83","20,242.33",Pavimentação -  CBUQ.Rua Pedro Uzeda (entre a Av. Conde Matarazzo e a Rua Leopoldo de Abreu).,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,1,Antonina,Escritório Regional de Curitiba,5,1723/2012-0005,Associação dos Municípios do Litoral do Paraná
Antonina,100163,A,14,16,1,Concluído,,1093,7/3/2014,7/4/2014,4/1/2014,7/4/2014,100,1,"289,000.00","289,000.00",0,Aquisição de uma escavadeira hidráulica com mínima potência efetiva líquida 92 HP.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,1,Antonina,Escritório Regional de Curitiba,5,1923/2013-0608,Associação dos Municípios do Litoral do Paraná
Antonio Olinto,100164,A,15,7,1,Medição Encerrada,,249,4/29/2014,3/10/2016,11/29/2013,3/10/2016,100,1,"484,651.46","326,397.02","158,254.44","Ginásio de esportes.Contém os seguintes ambientes arquitetônicos: Arquibancada, Vestiário, Depósito/DML/Almoxarifado/Despensa, Hall de Entrada/Foyer/Saguão e Enfermaria.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.12,GINÁSIO DE ESPORTES,,10051,1,2,Antonio Olinto,Escritório Regional de Ponta Grossa,10,1923/2013-0045,Associação dos Municípios do Sul do Paraná
Apucarana,100147,A,16,52,1,Medição Encerrada,,223,5/19/2014,2/10/2015,9/27/2013,2/10/2015,100,1,"1,110,111.73","800,000.00","310,111.73",Pavimentação -  CBUQ.Rua Higino Sacchelli entre Rua Gesino de Souza e Rua Carlos Nazato.Rua Hugo Celso Hegeto entre Rua Gesino de Souza e Rua Carlos Nazato.Rua Pedro Vicentini entre Rua Hugo Celso Hegeto e Rua Higino Sacchelli.Rua Maria de Macedo entre Ru,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Apucarana,Escritório Regional de Londrina,15,1723/2013-0307,Associação dos Municípios do Vale do Ivaí
Arapoti,100165,A,18,40,1,Em Execução,,237,11/5/2014,11/30/2016,5/30/2014,8/3/2016,41.16,2,"703,032.29","195,222.79","94,139.69",Terminal de Transporte Urbano - TTU.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.01,TERMINAL RODOVIÁRIO URBANO,,10051,1,2,Arapoti,Escritório Regional de Ponta Grossa,2,1923/2013-0124,Associação dos Municípios da Região dos Campos Gerais
Arapoti,100313,A,18,39,1,Concluído,,1093,12/5/2014,12/6/2014,5/27/2014,12/6/2014,100,1,"829,500.00","788,020.53","41,479.47","Aquisição de Equipamento(s) Rodoviário(s) sendo: Lote 1 - 03 (TRÊS) CAMINHÕES CAÇAMBAS BASCULANTES 6x4 com potência mínima efetiva de 275 CV, Caçamba Basculante com capacidade de 10,0 m³ e demais características técnicas constantes no MODELO 07.Aquisição ",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 20,,10051,1,2,Arapoti,Escritório Regional de Ponta Grossa,2,2023/2014-0005,Associação dos Municípios da Região dos Campos Gerais
Arapoti,100369,A,18,38,1,Medição Encerrada,,223,6/27/2014,7/7/2015,12/10/2013,7/7/2015,100,1,"157,731.74","78,642.57","79,089.17","Pavimentação -  CBUQ.Rua Emiliano Carneiro, entre a Rua Maria Campos e até estaca 19+12,521.",17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,2,Arapoti,Escritório Regional de Ponta Grossa,2,1723/2012-0006,Associação dos Municípios da Região dos Campos Gerais
Arapuã,100166,A,40,12,1,Em Execução,,233,7/2/2014,3/4/2017,5/13/2014,6/24/2015,72.89,2,"126,945.06","92,535.23",0,"Capela Mortuária.Contém os seguintes ambientes arquitetônicos: Cozinha, Instalação Sanitária(2), Sala de Repouso e Sala.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.06.09,CAPELA * MORTUÁRIA,,10051,1,3,Arapuã,Escritório Regional de Londrina,15,1923/2013-0399,Associação dos Municípios do Vale do Ivaí
Araruna,100167,A,19,16,1,Concluído,,1092,4/29/2014,4/30/2014,10/31/2013,4/30/2014,100,1,"175,000.00","95,000.00","80,000.00",Aquisição de 01 micro-ônibus para saúde.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,4,Araruna,Escritório Regional de Maringá,18,1923/2013-0482,Comunidade dos Municípios da Região de Campo Mourão
Araruna,100171,A,19,15,1,Concluído,,1093,3/26/2014,3/27/2014,10/31/2013,3/27/2014,100,1,"252,000.00","252,000.00",0,Caçamba Basculante com Truque.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Araruna,Escritório Regional de Maringá,18,1923/2013-0483,Comunidade dos Municípios da Região de Campo Mourão
Araucária,100315,A,20,88,1,Concluído,,223,2/23/2015,11/23/2015,6/27/2014,11/23/2015,100,1,"299,692.49","285,027.82","14,664.67",Pavimentação -  CBUQ.Rua Louis Becue (entre Rua Maria Prosdócimo Franceschi e Rua Alexandre Wisocki).,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,1,Araucária,Escritório Regional de Curitiba,16,2023/2014-0118,Associação dos Municípios da Região Metropolitana de Curitiba
Ariranha do Ivaí,100578,A,92,18,1,Concluído,,223,7/2/2014,3/4/2017,3/26/2014,5/11/2016,73.62,2,"300,000.00","220,853.60",0,Pavimentação - Pedra Irregular e Lajota Sextavada.Rua Guarapuava - entre rua Apucarana e estrada vicinal.Rua projetada A - entre rua Guarapuava  e o fim da rua projetada A.Rua projetada B - entre rua projetada A e o fim da rua projetada B.Rua projetada C ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Ariranha do Ivaí,Escritório Regional de Londrina,15,1923/2013-0125,Associação dos Municípios do Vale do Ivaí
Assaí,100061,A,21,31,1,Medição Encerrada,,234,12/18/2013,2/19/2014,7/30/2013,2/19/2014,100,1,"245,565.53","225,920.29","19,645.24",RECAPE - CBUQ.Av. Paul Harris entre Rua Niterói e PR-090.,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Assaí,Escritório Regional de Londrina,11,1723/2012-0007,Associação dos Municípios do Norte do Paraná
Assaí,100169,A,21,32,1,Medição Encerrada,,234,6/18/2014,5/25/2015,12/3/2013,5/25/2015,100,1,"449,730.07","371,191.05","78,539.02",RECAPE - CBUQ.Av. Paul Harris entre Rua Niterói e PR-090 (pista esquerda).Rua  Niterói entre Rua Uruguai e Rua Peru.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Assaí,Escritório Regional de Londrina,11,1923/2013-0126,Associação dos Municípios do Norte do Paraná
Assis Chateaubriand,100170,A,22,36,1,Concluído,,234,5/30/2014,7/21/2014,11/7/2013,7/21/2014,100,1,"538,000.00","500,000.00","38,000.00",RECAPE - CBUQ.Avenida Brasil trecho entre Avenida Tupãssi e Trevo das BRs 486/364.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Assis Chateaubriand,Escritório Regional de Cascavel,7,1923/2013-0046,Associação dos Municípios do Oeste do Paraná
Assis Chateaubriand,100435,A,22,37,1,Concluído,,234,10/10/2014,12/9/2014,8/6/2014,12/9/2014,100,1,"335,950.00","176,229.41","159,720.59",RECAPE - CBUQ.Av. Nordeste  (Entre a Rua São Pedro e a Praça da Matriz).Rua Oeste (Entre a Rua São Pedro e a Praça da Matriz).Rua Sul (Entre a Av. Circular e a Praça da Matriz).Rua 4 (Entre rua São Pedro e Av. Circular).Av. Circular (Entre Av. Sudoeste e ,20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,5,Assis Chateaubriand,Escritório Regional de Cascavel,7,2023/2014-0128,Associação dos Municípios do Oeste do Paraná
Astorga,100168,A,23,47,1,Concluído,,223,3/27/2014,10/2/2014,10/28/2013,10/2/2014,100,1,"462,107.30","449,999.99","12,107.31",Pavimentação - TST e RECAPE - TST.Rua Satélite (entre Rua Joaquim Nabuco e Lote Rural).Rua América (entre Rua Joaquim Nabuco e Lote Rural).Rua 15 de Novembro (entre Rua José Gimenes e Lote Rural).Rua Ipiranga (entre Rua José Gimenes e Rua 9 de Julho).Rua ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Astorga,Escritório Regional de Maringá,14,1923/2013-0127,Associação dos Municípos do Setentrião Paranaense
Astorga,100168,A,23,47,2,Concluído,,223,3/27/2014,10/2/2014,10/28/2013,10/2/2014,100,1,"462,107.30","449,999.99","12,107.31",Pavimentação - TST e RECAPE - TST.Rua Satélite (entre Rua Joaquim Nabuco e Lote Rural).Rua América (entre Rua Joaquim Nabuco e Lote Rural).Rua 15 de Novembro (entre Rua José Gimenes e Lote Rural).Rua Ipiranga (entre Rua José Gimenes e Rua 9 de Julho).Rua ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Astorga,Escritório Regional de Maringá,14,1923/2013-0127,Associação dos Municípos do Setentrião Paranaense
Atalaia,100062,A,24,23,1,Medição Encerrada,,234,11/1/2012,11/2/2012,4/4/2012,11/2/2012,100,1,"208,051.80","191,407.66","16,644.14",RECAPE - CBUQ e Pavimentação -  CBUQ.Rua Manoel Antonio Filho (entre Rua Curitiba e Rua 7 de Setembro).Rua 7 de Setembro (entre Rua Manoel Antonio Filho e Av. Antonio Moraes Barros).Rua Pres. Castelo Branco (entre Rua Guanabara e Av. Brasil).Av. Brasil (e,17,PROGRAMA DE AUXÍLIO AOS MUNICÍPIOS,17.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Atalaia,Escritório Regional de Maringá,14,1723/2012-0008,Associação dos Municípos do Setentrião Paranaense
Atalaia,100172,A,24,25,1,Concluído,,1092,4/25/2014,4/26/2014,11/22/2013,4/26/2014,100,1,"110,270.00","110,000.00",270,"Aquisição de 01 veículo VAN, especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,4,Atalaia,Escritório Regional de Maringá,14,1923/2013-0532,Associação dos Municípos do Setentrião Paranaense
Atalaia,100173,A,24,24,1,Concluído,,1091,4/25/2014,4/26/2014,11/22/2013,4/26/2014,100,1,"74,980.00","70,000.00","4,980.00","Aquisição de 02 veículos leves para apoio administrativo, motor potência 85 cv ( G} e 86 Cv (E) e demais especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.02,VEÍCULOS,,10051,1,4,Atalaia,Escritório Regional de Maringá,14,1923/2013-0533,Associação dos Municípos do Setentrião Paranaense
Atalaia,100174,A,24,26,1,Concluído,,1093,3/21/2014,3/22/2014,11/22/2013,3/22/2014,100,1,"118,000.00","118,000.00",0,"Aquisição de 01 minicarregadeira com vassoura, especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Atalaia,Escritório Regional de Maringá,14,1923/2013-0534,Associação dos Municípos do Setentrião Paranaense
Balsa Nova,100175,A,25,13,1,Concluído,,1093,1/7/2014,1/8/2014,8/15/2013,1/8/2014,100,1,"489,000.00","350,000.00","139,000.00","Aquisição de Equipamento(s) Rodoviário(s) sendo:LOTE 01 - 02 (DOIS) CAMINHÕES CAÇAMBAS BASCULANTES TRAÇADOS 6x4,  com mínima potência efetiva de 226 CV, capacidade da Caçamba Basculante de 10,0 m³ e demais características técnicas constantes do MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,1,Balsa Nova,Escritório Regional de Curitiba,16,1923/2013-0005,Associação dos Municípios da Região Metropolitana de Curitiba
Bandeirantes,100176,A,26,55,1,Concluído,,1093,3/25/2014,3/26/2014,10/16/2013,3/26/2014,100,1,"560,000.00","500,000.00","60,000.00",Aquisição de 02 Caminhões Toco 4x2 equipado com coletor compactador de lixo e resíduos sólidos.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.05.03,EQTOS. eVEÍCULOS P/ LIMPEZA URBANA,,10051,1,3,Bandeirantes,Escritório Regional de Londrina,11,1923/2013-0302,Associação dos Municípios do Norte do Paraná
